Manufacturer,Automobile,Production,Sales,Sales_clean,Production_years
AC Cars,AC 3000ME,1979–1984,107.0,107.0,6.0
AC Cars,AC/Shelby Cobra,1961–2004,1003.0,1003.0,44.0
AC Cars,AC 428,1965–1973,81.0,81.0,9.0
Alfa Romeo,Alfa Romeo 75,1985–1992,386767.0,386767.0,8.0
Alfa Romeo,Alfa Romeo Brera,2005–2010,21786.0,21786.0,6.0
Alfa Romeo,Alfa Romeo GT,2003–2010,80832.0,80832.0,8.0
Alfa Romeo,Alfa Romeo Montreal,1970–1977,3917.0,3917.0,8.0
Alfa Romeo,Alfa Romeo Spider,1966–1993,124104.0,124104.0,28.0
Alfa Romeo,Alfa Romeo SZ and RZ,1989–1991 1992–1994,1036.0,1036.0,3.0
Alpine,Alpine A106,1955–1961,251.0,251.0,7.0
Alpine,Alpine A108/Willys Interlagos,1958–1965,236.0,236.0,8.0
Audi,Audi 80 and 90,1972–1996,4238247.0,4238247.0,25.0
Audi,Audi Coupé/Quattro,1980–1996,248545.0,248545.0,17.0
Audi,Audi A3,1996–present,3000000.0,3000000.0,31.0
Audi,Audi A4,1994–2025,5000000.0,5000000.0,32.0
Audi,Audi R8,2007–2024,50700.0,50700.0,18.0
Audi,Audi A1,2010–present,100000.0,100000.0,17.0
Audi,Audi A2,2000-2005,170000.0,170000.0,6.0
Austin,Austin-Healey Sprite,1958–1971,129347.0,129347.0,14.0
BMC,BMC ADO16,1962–1974,"2,167,783 made under the brand names of Austin, Morris, MG, Riley, Vanden Plas and Wolseley.[40]",2167783.0,13.0
BMC,BMC ADO17,1964–1975,"387,283 made under the brand names of Austin, Morris, and Wolseley.[40]",387283.0,12.0
BMW,BMW 326,1936–1941 1946,"15,952 in a single generation, 15,936 built under pre-war BMW[45] and 16 post-war under EMW[46]",15952.0,6.0
BMW,BMW 328,1936–1940,464 in a single generation.[47],464.0,5.0
BMW,BMW 327,1937–1941 1946–1955,"2,470 in a single generation, 1,965 built under pre-war BMW[48] and 505 post-war under EMW.[46]",2470.0,5.0
BMW,BMW 507,1956–1959,253 in a single generation.[49],253.0,4.0
BMW,BMW 503,1956–1959,413 in a single generation.[50],413.0,4.0
BMW,BMW 3200 CS,1962–1965,603 in a single generation.[51],603.0,4.0
BMW,BMW New Class,1962–76,"1,191,728 over two generations.[52]",1191728.0,15.0
BMW,BMW 2000C and 2000CS,1965–69,"13,691 in a single generation.[53]",13691.0,5.0
BMW,BMW CS,1968–75,"30,546 in a single generation.[54]",30546.0,8.0
BMW,BMW i3,2013–2022,"Over 220,000 through December 2021.[55]",220000.0,10.0
BMW,BMW i8,2014–2020,"20,448 in a single generation.[56]",20448.0,7.0
BMW,BMW M1,1978–81,"453 in a single generation, including 54 Procar racing cars.[57]",453.0,4.0
BMW,BMW Z1,1989–91,"8,000 in a single generation.[58]",8000.0,3.0
BMW,BMW Z8,1999–2003,"5,703 in a single generation.[59]",5703.0,5.0
BMW,BMW 3 Series,1975–present,"Over 9,500,000 in the first four generations to 2005. A further 2,147,247 sixth generation E90s were produced. The bestselling vehicle from a premium brand.",9500000.0,52.0
BMW,BMW 5 Series,1972–present,"Over 5,000,000 in the first five generations to 2009.[60]",5000000.0,55.0
BMW,BMW 8 Series,1989–99,"30,609 produced.[61]",30609.0,11.0
BMW,BMW X5,1999–present,"1,000,000 in two generations up to June 2010.[62]",1000000.0,28.0
Bugatti,Bugatti Type 18,"1908, 1912–14",7 in a single generation[63],7.0,3.0
Bugatti,Bugatti Type 30,1922–26,About 600 in a single generation[64],600.0,5.0
Bugatti,Bugatti Type 35,1925–29,"About 343 in a single generation, accounting for a total of 96 Type 35, 139 Type 35A, 50 Type 35C, 13 Type 35T, 45 Type 35B[65]",343.0,5.0
Bugatti,Bugatti Type 37,1926–30,286 in a single generation.[66],286.0,5.0
Bugatti,Bugatti Type 38,1926–27,385 in a single generation[67],385.0,2.0
Bugatti,Bugatti Type 39,1925–27,15 in a single generation[68],15.0,3.0
Bugatti,Bugatti Type 40,1926–30,Approximately 800 in a single generation[69],800.0,5.0
Bugatti,Bugatti Type 41,1927–33,6 in a single generation.[70],6.0,7.0
Bugatti,Bugatti Type 50,1931–33,65 in a single generation[71],65.0,3.0
Bugatti,Bugatti Type 51,1931–34,40 in a single generation[72],40.0,4.0
Bugatti,Bugatti Type 55,1932–35,38 in a single generation.[73][74][75],38.0,4.0
Bugatti,Bugatti Type 57,1934–39,685 in a single generation[76],685.0,6.0
Bugatti,Bugatti Type 101,1951–56,8 in a single generation.[77],8.0,6.0
Bugatti,Bugatti EB110,1991–95,139 in a single generation.[78],139.0,5.0
Bugatti,Bugatti Veyron,2005–2015,450 in a single generation.[79],450.0,11.0
Bugatti,Bugatti Chiron,2016–2023,500 in a single generation.[80],500.0,8.0
Buick,Buick Apollo,1973–75,"112,901 produced.[81]",112901.0,3.0
Buick,Buick Centurion,1971–73,"110,809 built.[81]",110809.0,3.0
Buick,Buick Electra,1959–90,"Approximately 3,170,000 produced over six generations including the 1980–1990 Electra Estate.[24][25]",3170000.0,32.0
Buick,Buick Invicta,1959–63,"186,507 built over two generations.[81]",186507.0,5.0
Buick,Buick LeSabre,1959–2005,"Buick's best selling and longest lasting nameplate; over 6,000,000 built over eight generations.[82]",6000000.0,47.0
Buick,Buick Riviera,1963–99,"1,127,261 built over eight generations.[83]",1127261.0,37.0
Buick,Buick Special,1936–42 1946–69,"Approximately 3,890,000 built over nine generations.[24][84]",3890000.0,7.0
Buick,Buick Wildcat,1963–70,"492,040 produced over two generations.[81]",492040.0,8.0
BYD,BYD e6,2010–present,"34,862 sold in China through December 2016.[85][86]",34862.0,17.0
BYD,BYD F3DM,2008–2013,"3,284 units in China through October 2013.[87][88][89]",3284.0,6.0
BYD,BYD Qin,2013–present,"68,655 in China through December 2016.[90]",68655.0,14.0
BYD,BYD Tang,2015–present,"49,780 in China through December 2016.[90]",49780.0,12.0
Cadillac,Cadillac Cimarron,1982–88,"132,499 in a single generation.",132499.0,7.0
Cadillac,Cadillac Allanté,1986–93,"21,000 in a single generation.[91]",21000.0,8.0
Cadillac,Cadillac De Ville,1959–2005,"Cadillac's best selling and longest running nameplate; approximately 3,870,000 in eight generations excluding early Series 62 hardtops, 1981–1988, 1991–93, and 2000–05. (Total production for 1981–1988, 1991–93 and 2000–05 is unknown but a good guess is over 1,300,000.)[24][25]",3870000.0,47.0
Cadillac,Cadillac ELR,2013–2016,"2,697 units in the United States through April 2016.[92][93][94]",2697.0,4.0
Checker,Checker Marathon,1961–82,"10,559 of a single generation not counting taxicabs and private sales for 1961–63, 1976 and 1980–82 (private sales for 1961–62, 1976 and 1980–82 are unknown).[24][25]",10559.0,22.0
Chevrolet,Chevrolet Camaro,1967–2002 2010–2024,"Almost 4,800,000 in five generations.[95]",4800000.0,36.0
Chevrolet,Chevrolet Caprice,1966–96,"Approximately 4,630,000 in four generations excluding 1966–1968 and 1970–76 station wagons (1971–76 station wagons were built on a larger platform), all 1973 except for Caprice Classic, and 1994–96 sedans. (Total production for 1966–1968 and 1970 station wagons, all 1973 except for Caprice Classic and 1994–96 sedans is unknown but a good guess is over 800,000.)[24][25]",4630000.0,31.0
Chevrolet,Chevrolet Cavalier,1982–2005,"Estimated to be over 6,000,000 in three generations; 5,210,123 were sold up to 1999.[96]",6000000.0,24.0
Chevrolet,Chevrolet Citation,1980–85,"1,642,587 produced in a single generation.[97]",1642587.0,6.0
Chevrolet,Chevrolet Corvair,1960–69,"1,835,170 in two generations.[98]",1835170.0,10.0
Chevrolet,Chevrolet Corvette,1953–present,"Chevrolet's longest lasting car nameplate; 1,302,401 over six generations not counting 2004 to present.[99] (2004 to present production is unknown.)",1302401.0,74.0
Chevrolet,Chevrolet Cruze,2008–2023,4 million sold worldwide as of April 2016 over two generations.[100],4.0,16.0
Chevrolet,Chevrolet Impala,1958–85 1994–96 2000–2020,"Chevrolet's best selling nameplate; over 13,000,000 built over nine generations not counting 2000 to present.[101] (Production for 2000 to present is unknown.); the bestselling car in America in a single year with 1,046,514 sold in 1965 including the Impala SS.[24]",13000000.0,28.0
Chevrolet,Chevrolet Malibu,1964–1983 1997–2025,"As of the introduction of the ninth generation for the 2016 model year, General Motors announced that over 10,000,000 had been sold over the previous eight generations.[102]",10000000.0,20.0
Chevrolet,Chevrolet Monza,1975–80,"731,504 in a single generation[103]",731504.0,6.0
Chevrolet,Chevrolet Opala,1968–92,"A Brazilian Chevrolet's Icon, 1,000,000 built.",1000000.0,25.0
Chevrolet,Chevrolet Suburban,1935–present,"Chevrolet's longest lasting nameplate and the longest lasting nameplate in world history; approximately 1,510,000 in ten generations not counting vehicles sold to U.S. government (National Guard and CCC) prior to 1935, 1935–1965, 1975, 1985, 1994–95 and 2000 to present[104] (sales for 1935–1965, 1975, 1985, 1994–95 and 2000 to 2011 are unknown but a reasonable guess is about 1,600,000).",1510000.0,92.0
Chevrolet,Chevrolet Vega,1971–77,"1,966,157 in a single generation[105]",1966157.0,7.0
Chevrolet,Chevrolet Volt,2010–2019,"Global cumulative sales of about 179,300 units through 2019,[106] plus about 10,000 rebadged variants sold as Opel/Vauxhall Ampera in Europe.[107]",179300.0,10.0
Chrysler,Chrysler Aspen Hybrid,October 2008 - November 2009,140 according to unconfirmed source.,140.0,2.0
Chrysler,Chrysler Newport,1961–81,"Chrysler's best selling nameplate; approximately 1,920,000 in five generations (excluding early Newport hardtops).[24][25]",1920000.0,21.0
Chrysler,Chrysler TC by Maserati,1989–91,"7,300 in a single generation.[108]",7300.0,3.0
Chrysler,Chrysler minivans,1984–present,"Over 11,000,000 over five generations and across three marques up to 2005; Chrysler (Town and Country, Voyager), Dodge (Caravan) and Plymouth (Voyager).[109]",11000000.0,43.0
Chrysler,Chrysler Town & Country,1990–2016,"Approximately 420,000 in five generations excluding 1999 to present and Town and Countries sold as part of earlier series. (Sales for 1999 to 2011 are unknown, although a reasonable guess is over 1,000,000.)[104]",420000.0,27.0
Citroën,Citroën 2CV,1948–90,"3,872,583 in a single design; including commercial variants, the total figure is approximately nine million.[110]",3872583.0,43.0
Citroën,Citroën DS,1955–76,"1,455,746; sold 12,000 in a single day upon release at the 1955 Paris Motor Show.[111]",1455746.0,22.0
Continental,Continental Mark II,1956–57,"3,012 of a single generation (only car produced by the short lived Continental division of the Ford Motor Company).[24]",3012.0,2.0
Crosley,Crosley,1939–42 1946–49,"62,210 built over one generation before introduction of series names in 1950 (does not include 1949 Hot Shot).[24][84]",62210.0,4.0
Daihatsu,Daihatsu Copen,2002–12,"Over 56,000 within a single generation.[112][113]",56000.0,11.0
DMC,DMC DeLorean,1981–82,"An estimated 9,200 over a single generation.[114]",9200.0,2.0
De,De Tomaso Deauville,1970–1989,355.[115],355.0,20.0
De,De Tomaso Guarà,1993–2004,50 over a single generation including 10 to 12 barchettas and 4 spiders.[116],50.0,12.0
De,De Tomaso Longchamp,1972–89,409.[117],409.0,18.0
De,De Tomaso Mangusta,1967–72,400 over a single generation.[118],400.0,6.0
De,De Tomaso Pantera,1971–91,"7,260, best selling and longest running De Tomaso nameplate.[118][119]",7260.0,21.0
De,De Tomaso Vallelunga,1964–1968,58 over a single generation including aluminum body prototypes and race cars.[120],58.0,5.0
DeSoto,DeSoto Custom,1939–42 1946–52,"DeSoto's best selling nameplate and, tied with the Deluxe, its longest lasting nameplate; approximately 570,000 in three generations.[24][84]",570000.0,4.0
Dodge,Dodge Aries/Plymouth Reliant,1981–89,"Known as the 'K-cars' after their common platform; 972,216 in a single generation between the two marques.[121]",972216.0,9.0
Dodge,Dodge Coronet,1949–59 1965–76,"Dodge's best selling car nameplate and longest lasting American produced car nameplate; approximately 2,060,000 in six generations not counting 1949–53 4-doors, 1953 coupes, Dodge Chargers and Super Bees. (Production of 1949–53 4-doors and 1953 coupes is unknown but a reasonable guess is about 400,000 total.)[24][25]",2060000.0,11.0
Dodge,Dodge Stealth,1991–96,"Badge engineered Mitsubishi 3000GT, 65,303 over a single generation.[122]",65303.0,6.0
Dodge,Dodge Viper,1992–2006 2008–2010 2012–2017 (2012–2014 as SRT),"28,056 over four generations at a rate of 12 per day up until 2 July 2010 when production ended.[123]",28056.0,15.0
Eagle,Eagle Talon,1990–98,"Eagle's best selling car nameplate and longest lasting nameplate; approximately 200,000 over two generations.[124]",200000.0,9.0
Edsel,Edsel Bermuda,1958,"2,235 in one generation.[125]",2235.0,
Edsel,Edsel Corsair,1958-59,"19,305 in one generation.[125]",19305.0,2.0
Edsel,Edsel Citation,1958,"9,299 in one generation.[125]",9299.0,
Edsel,Edsel Pacer,1958,"20,988 in one generation.[125]",20988.0,
Edsel,Edsel Ranger,1958–60,"Edsel's best selling nameplate and, tied with the Villager, its longest lasting nameplate; 50,803 built over two generations.[24]",50803.0,3.0
Edsel,Edsel Roundup,1958xh,963 in one generation.[125],963.0,
Edsel,Edsel Villager,1958-60,"11,884 produced over two generations.[125]",11884.0,3.0
Excalibur,Excalibur Series II,1970–82,"2,230 in one generation.[44]",2230.0,13.0
Facel,Facel Vega FV/FVS/HK500,1954–1962,"893 in a single design. Accounting for 46 FV1, 152 FV2, 205 FV3 and FV4, 490 HK500.[19]",893.0,9.0
Facel,Facel Vega Excellence,1958–1964,152 in a single design[126],152.0,7.0
Facellia,Facellia,1960–1964,"1,500 in a single design.[126]",1500.0,5.0
Facel,Facel II,1962–1964,184 in a single design.[19],184.0,3.0
Facel,Facel III,1963–1964,619 in a single design.[19],619.0,2.0
Facel,Facel Vega 6,1964,42 in a single design.[19],42.0,
Ferrari,Ferrari 166 MM,1948–53,"47 in a single generation,[127] including later MM/53 series.",47.0,6.0
Ferrari,Ferrari 212 Inter,1951–52,78 in a single generation[128],78.0,2.0
Ferrari,Ferrari 250 MM,1952–53,31 in a single generation[129] including 18 Berlinetta.[130],31.0,2.0
Ferrari,Ferrari 250 GT Coupé,1954–60,"526 in four body designs. Europa GT: 35,[131] Boano Coupé: 88,[132] Ellena Coupé: 50[133] and Pinin Farina Coupé: 353.[134]",526.0,7.0
Ferrari,"Ferrari 250 GT Berlinetta ""Tour de France"" [it]",1956–59,"84 in a single generation with 4 minor variations; accounting for 14 Series I, 9 Series II, 17 Series III and 37 Series IV.[135] Also inclusive are 7 Interims.[136]",84.0,4.0
Ferrari,Ferrari 250 GT Berlinetta SWB [it],1959–63,167 in a single generation[137][138],167.0,5.0
Ferrari,Ferrari 250 GT 2+2 [it],1960–63,957 in a single generation with three series.[139],957.0,4.0
Ferrari,Ferrari 250 GTO,1962–64,"36 in two single body designs, accounting for 33 Series I[140] and 3 Series II[141]",36.0,3.0
Ferrari,Ferrari 250 GT Lusso,1962–64,351[142],351.0,3.0
Ferrari,Ferrari 275,1964–68,"930 accounting for 200 GTS[143] and 730 GTBs[144] including 4 Competizione Speciale, 330 275 GTB/4 Berlinettas,[130] 10 275 GTB/C[145]",930.0,5.0
Ferrari,Ferrari 330 GT 2+2 [it],1964–67,"1,099[146][147]",1099.0,4.0
Ferrari,Ferrari 250 LM [it],1964–65,32 in a single generation[130],32.0,2.0
Ferrari,Ferrari 330 GTC and GTS [it],1964–67,698,698.0,4.0
Dino,Dino 206 GT and 246 GT,1966–74,"3,569, in two generations. 152 206 Dino GT and 2,295 246 GTs and 1,274 246 GTSs.[130]",3569.0,9.0
Ferrari,Ferrari 365 GT 2+2 [it],1967–71,801[147],801.0,5.0
Ferrari,Ferrari 365 GTC and GTS [it],1968–70,188[147],188.0,3.0
Ferrari,Ferrari 365 GTB/4 and GTS/4,1968–73,"1,405 in a single generation, 1,383 hard top 365 GTB/4 and 122 soft top 365 GTS/4.[148]",1405.0,6.0
Ferrari,Ferrari 512S,1970,"25 chassis as per regulation; however, some were used as spares. Many of these became converted into 512M for the 1971 season and one as 712P.[149]",25.0,
Ferrari,Ferrari 365 GTC/4,1971–72,505[147],505.0,2.0
Ferrari,"Ferrari 365 GT4 2+2, 400 and 412",1972–89,2907[147] Longest Ferrari in production.,2907.0,18.0
Dino/Ferrari,Dino/Ferrari 208 and 308 GT4,1973–80,"2,826 308s and 840 208s in a single generation. Held Dino branding until 1976.[150]",2826.0,8.0
Ferrari,Ferrari BB,1973–84,"2,261 in one single body design, accounts for a total of 327 365 GT4 BB, 927 BB 512 and 1007 BB 512i.[151]",2261.0,12.0
Ferrari,Ferrari 308 GTB and GTS,1975–85,"7,412 coupés and targa tops.[152] Accounting for 712 glassfiber GTBs, 2,897 steel GTBs and 3,219 GTSs; 494 GTBi and 1,749 GTSi; 3,042 GTB QVs and 748 GTS QVs.[153][154][155]",7412.0,11.0
Ferrari,Ferrari Mondial,1980–93,"6,884.[156] Accounting for 703 Mondial 8s, 1,145 Mondial QV coupes and 629 Cabriolets, 987 Mondial 3.2 coupes and 810 Cabs, 858 Mondial t coupes and 1,017 Cabs.[157]",6884.0,14.0
Ferrari,Ferrari Testarossa,1984–96,"9,957 in three generations, accounting for 2,280 512 TRs and 500 F512 Ms.[158][159][160][161][162]",9957.0,13.0
Ferrari,Ferrari 288 GTO,1984–87,"278, 272 standard version[163] plus 6 Evoluzione variant.[164]",278.0,4.0
Ferrari,Ferrari 328,1985–89,"7,412; 1,344 GTBs and 6,068 GTSs[165]",7412.0,5.0
Ferrari,Ferrari F40,1987–93,"1,311[166] standard variant",1311.0,7.0
Ferrari,Ferrari 348,1989–95,"8,844.[167] 3,116 berlinettas, 4,446 targas, 1,146 Spiders and 100 Serie Speciales",8844.0,7.0
Ferrari,Ferrari 456,1992–2003,"3,289 over two generations.[168]",3289.0,12.0
Ferrari,Ferrari 333 SP,1994–2001,39 produced[169],39.0,8.0
Ferrari,Ferrari F355,1994–99,"11,273 coupés, convertibles and targa tops.[170]",11273.0,6.0
Ferrari,Ferrari F50,1995–97,"374 in total, 368[171] standard road cars (349 claimed)[172] plus 6 F50 GT (including 3 complete cars).[173]",374.0,3.0
Ferrari,Ferrari 550 Maranello,1996–2001,"3,083 coupés and 448 convertibles.[168]",3083.0,6.0
Ferrari,Ferrari 575M Maranello,2002–2006,"2,064 coupés and 559 convertibles.[174]",2064.0,5.0
Ferrari,Ferrari 360,1999–2004,"Bestselling Ferrari in history; 17,653 coupés and convertibles.[175]",17653.0,6.0
Enzo,Enzo Ferrari,2002–2004,"400 in one single generation, includes P4/5 (formerly, another Enzo) but not FXX and Maserati MC12 variants.[176]",400.0,3.0
Ferrari,Ferrari 612 Scaglietti,2004–2011,"3,025 in a single generation.[177]",3025.0,8.0
Ferrari,Ferrari F430,2004–2009,"(estimated) 17,499 in a single generation. Source accounts for 15,000 Berlinettas and Spiders, but only around 2,000 Scuderias and a claimed 499 16Ms[178]",17499.0,6.0
Ferrari,Ferrari 599,2006–2012,"(estimated) 4,279 in a single generation with an estimated 3,600 599 GTB and 599 599 GTO and 80 599 Aperta.[179]",4279.0,7.0
Ferrari,Ferrari 458,2009–2015,"(unofficial estimate) 24,649 in a single generation. Source accounts for 15,000 Italias, 6,000 Spiders, 3,000 Speciales, 499 Speciale As and 150 Challenges.[180][181]",24649.0,7.0
Ferrari,Ferrari FF,2011–2016,"2,291 in a single generation with 800 in its first year of production.[182][183]",2291.0,6.0
